month,business_unit,revenue_budget,revenue_actual,revenue_prior_year,cogs_budget,cogs_actual,payroll_budget,payroll_actual,social_charges_budget,social_charges_actual,bonus_budget,bonus_actual,opex_travel_budget,opex_travel_actual,opex_marketing_budget,opex_marketing_actual,opex_it_budget,opex_it_actual,opex_facilities_budget,opex_facilities_actual,opex_ga_budget,opex_ga_actual,depreciation_budget,depreciation_actual
2024-01-01,Brand Events,2625000.0,2664994.12,2708945.52,2126250.0,2113746.1,270416.67,274475.36,124391.67,126567.03,48675.0,51415.91,8190.0,8960.32,18200.0,14649.12,36000.0,32249.72,44500.0,44585.33,37000.0,36133.42,11000.0,10950.02
2024-02-01,Brand Events,3009821.22,2962229.54,2851337.6,2437955.19,2398599.67,271083.59,266458.66,124698.45,120129.57,48795.05,50758.65,8460.0,9203.97,18800.0,20262.25,36060.0,36250.49,44555.62,45309.0,37061.67,37086.36,11027.5,11038.84
2024-03-01,Brand Events,3397133.91,3476543.51,3518699.04,2751678.47,2767604.88,271752.15,273756.33,125005.99,124941.15,48915.39,52902.36,8730.0,7892.9,19400.0,21104.19,36120.0,35975.73,44611.25,44487.55,37123.33,38523.92,11055.0,11048.27
2024-04-01,Brand Events,4354992.82,4206720.65,4033602.13,3527544.18,3490758.54,272422.37,271580.42,125314.29,124232.57,49036.03,47838.28,9405.0,9002.16,20900.0,20751.44,36180.0,37720.72,44666.88,44911.72,37185.0,35997.12,11082.5,11083.97
2024-05-01,Brand Events,4749184.71,4847191.88,4679086.3,3846839.61,3960055.43,273094.23,284791.67,125623.35,130196.96,49156.96,53063.48,9675.0,9281.79,21500.0,20398.68,36240.0,33880.71,44722.5,45135.72,37246.67,36711.11,11110.0,11090.34
2024-06-01,Brand Events,4574143.01,4832347.04,4697432.72,3705055.84,3905280.84,273767.76,269167.6,125933.17,125720.48,49278.2,46340.49,9540.0,8753.44,21200.0,22579.26,36300.0,38458.41,44778.13,45142.95,37308.33,34968.48,11137.5,11157.89
2024-07-01,Brand Events,3250624.94,3142458.82,3309751.27,2633006.2,2557210.47,274442.94,275083.41,126243.75,123909.07,49399.73,50300.46,8595.0,8782.96,19100.0,20764.43,36360.0,37010.39,44833.75,45290.32,37370.0,38837.48,11165.0,11168.91
2024-08-01,Brand Events,2302070.57,2309849.16,2277730.19,1864677.16,1881796.54,275119.79,278593.39,126555.1,128164.85,49521.56,43976.92,7920.0,6765.93,17600.0,17037.38,36420.0,35049.52,44889.38,44459.19,37431.67,38263.0,11192.5,11214.68
2024-09-01,Brand Events,3656877.67,3606569.59,3394274.64,2962070.91,3008665.45,275798.31,271022.42,126867.22,123209.18,49643.7,54383.97,8865.0,9723.38,19700.0,16384.75,36480.0,35502.67,44945.0,45054.72,37493.33,35657.64,11220.0,11125.79
2024-10-01,Brand Events,4634336.0,4770173.57,4720040.58,3753812.16,3918801.91,276478.51,280865.37,127180.11,126858.22,49766.13,50634.55,9540.0,9207.32,21200.0,20219.81,36540.0,39048.04,45000.62,44871.49,37555.0,38062.55,11247.5,11272.3
2024-11-01,Brand Events,5036966.58,4715687.11,4485094.66,4079942.93,3733130.07,277160.38,272063.66,127493.77,124727.08,49888.87,46583.59,9810.0,10297.71,21800.0,22110.49,36600.0,38621.74,45056.25,44767.49,37616.67,38884.75,11275.0,11224.4
2024-12-01,Brand Events,4276001.48,4309897.28,4083244.32,3463561.2,3534695.73,277843.93,276124.93,127808.21,125480.76,50011.91,53881.42,9270.0,9693.43,20600.0,19236.43,36660.0,35595.24,45111.88,44853.56,37678.33,37945.96,11302.5,11329.13
2025-01-01,Brand Events,2730000.0,2566767.89,2664994.12,2211300.0,2099331.1,278529.17,275914.32,128123.42,127714.91,50135.25,47960.69,8190.0,8200.23,18200.0,19074.96,36720.0,38031.73,45167.5,45618.31,37740.0,36935.59,11330.0,11366.29
2025-02-01,Brand Events,3130214.07,3114800.04,2962229.54,2535473.4,2501628.5,279216.09,278770.92,128439.4,127443.22,50258.9,51190.43,8460.0,9032.23,18800.0,16079.43,36780.0,32888.09,45223.13,44546.65,37801.67,37666.4,11357.5,11289.68
2025-03-01,Brand Events,3533019.27,3603639.77,3476543.51,2861745.61,2866087.29,279904.72,277787.73,128756.17,129017.23,50382.85,46133.57,8730.0,9864.23,19400.0,18708.85,36840.0,39013.61,45278.75,44644.65,37863.33,38216.16,11385.0,11388.81
2025-04-01,Brand Events,4529192.53,4482669.22,4206720.65,3668645.95,4238746.9,280595.04,278692.42,129073.72,129822.29,50507.11,46794.7,9405.0,10195.31,20900.0,17289.9,36900.0,38182.42,45334.38,45496.04,37925.0,37100.97,11412.5,11406.78
2025-05-01,Brand Events,4939152.09,4792422.24,4847191.88,4000713.2,4485816.95,281287.06,281692.84,129392.0,129813.05,50631.67,53346.8,9675.0,9162.72,21500.0,22000.25,36960.0,37024.61,45390.0,46480.57,37986.67,38459.37,11440.0,11441.42
2025-06-01,Brand Events,4757108.73,4700176.69,4832347.04,3853258.07,4437761.2,281980.79,282991.84,129711.16,131514.9,50756.54,57344.75,9540.0,9749.88,21200.0,24081.48,37020.0,39493.27,45445.62,45688.9,38048.33,35985.31,11467.5,11467.17
2025-07-01,Brand Events,3380649.94,3627995.68,3142458.82,2738326.45,2868808.7,282676.23,279059.38,130031.07,129342.44,50881.72,50489.1,8595.0,7798.61,19100.0,18355.46,37080.0,32996.2,45501.25,45934.75,38110.0,40296.96,11495.0,11475.79
2025-08-01,Brand Events,2394153.39,2367551.63,2309849.16,1939264.25,1861305.02,283373.39,277617.63,130351.76,126409.18,51007.21,52581.2,7920.0,8168.3,17600.0,19075.1,37140.0,43072.69,45556.88,47548.07,38171.67,33937.82,11522.5,11495.09
2025-09-01,Brand Events,3803152.78,3881955.9,3606569.59,3080553.75,3082154.51,284072.26,271959.16,130673.24,128061.21,51133.01,49029.73,8865.0,9102.33,19700.0,18098.51,37200.0,35963.9,45612.5,45193.71,38233.33,38780.47,11550.0,11495.04
2025-10-01,Brand Events,4819709.0,4785780.89,4770173.57,3903964.65,3959127.59,284772.86,285667.32,130995.52,131376.5,51259.11,50981.41,9540.0,9388.66,21200.0,19004.41,37260.0,32268.11,45668.13,45334.99,38295.0,41141.6,11577.5,11519.03
2025-11-01,Brand Events,5238445.24,52243583.97,4715687.11,4243140.65,4381358.35,285475.19,286218.99,131318.59,128024.58,51385.53,52776.44,9810.0,10774.07,21800.0,20711.54,37320.0,33782.23,45723.75,45061.82,38356.67,40734.8,11605.0,11565.04
2025-12-01,Brand Events,4447041.54,4285786.02,4309897.28,3602103.65,3619265.76,286179.25,281477.97,131642.45,127118.76,51512.26,47404.7,9270.0,10047.28,20600.0,18739.97,37380.0,40165.78,45779.38,46043.72,38418.33,39084.61,11632.5,11599.8
2026-01-01,Brand Events,2839200.0,2816963.68,2566767.89,2299752.0,2279880.39,286885.04,283128.07,131967.12,130294.1,51639.31,43754.28,8190.0,8555.33,18200.0,17371.93,37440.0,33769.07,45835.0,44956.39,38480.0,37679.06,11660.0,11705.96
2026-02-01,Brand Events,3255422.63,3283514.96,3114800.04,2636892.33,2743643.63,287592.58,288512.83,132292.59,132364.65,51766.66,48741.46,8460.0,8359.63,18800.0,19337.35,37500.0,41418.01,45890.62,46041.64,38541.67,40163.39,11687.5,11745.18
2026-03-01,Brand Events,3674340.04,3598845.72,3603639.77,2976215.43,2979563.11,288301.86,290774.08,132618.85,133133.57,51894.33,50009.71,8730.0,10070.71,19400.0,19755.47,37560.0,33880.72,45946.25,45003.32,38603.33,40576.83,11715.0,11682.79
2026-04-01,Brand Events,4710360.23,5099183.49,4482669.22,3815391.79,4272725.09,289012.89,287975.22,132945.93,132252.2,52022.32,57436.79,9405.0,9044.61,20900.0,23954.42,37620.0,34288.24,46001.88,45384.49,38665.0,38954.0,11742.5,11713.41
2026-05-01,Brand Events,5136718.18,5301947.6,4792422.24,4160741.72,4260684.31,289725.67,289695.99,133273.81,130626.0,52150.62,52256.06,9675.0,9516.87,21500.0,22225.79,37680.0,41922.71,46057.5,46120.08,38726.67,38592.53,11770.0,11733.29
2026-06-01,Brand Events,4947393.08,5106683.99,4700176.69,4007388.39,3966806.82,290440.21,290157.22,133602.5,134707.67,52279.24,48181.4,9540.0,8735.56,21200.0,18616.12,37740.0,35088.68,46113.12,45882.01,38788.33,36332.45,11797.5,11751.01
2024-01-01,Corporate Events,1166666.67,1220094.31,1205145.86,863333.33,878918.59,155000.0,155094.96,71300.0,71304.86,27900.0,25354.4,3640.0,3463.76,40950.0,39608.18,20000.0,21604.41,24300.0,24496.14,21000.0,19984.72,6000.0,5973.66
2024-02-01,Corporate Events,1337698.32,1427150.08,1373539.42,989896.76,1052827.62,155382.27,153219.53,71475.85,70416.71,27968.81,26305.06,3760.0,3675.83,42300.0,43325.76,20033.33,20316.32,24330.38,23934.62,21035.0,21797.69,6015.0,5946.18
2024-03-01,Corporate Events,1509837.3,1516668.54,1470522.84,1117279.6,1127457.69,155765.49,163608.2,71652.12,75501.05,28037.79,28243.14,3880.0,4608.22,43650.0,39925.59,20066.67,19605.32,24360.75,23825.99,21070.0,21384.5,6030.0,6086.79
