month,business_unit,line_item,forecast,base_month,base_value,base_was_normalized,growth_factor
2026-07,Brand Events,COGS,2447452.47,2025-07,2344069.28,False,1.044104
2026-08,Brand Events,COGS,1583140.85,2025-08,1516267.17,False,1.044104
2026-09,Brand Events,COGS,2635005.08,2025-09,2523699.45,False,1.044104
2026-07,Brand Events,Depreciation,32643.59,2025-07,31501.48,False,1.036256
2026-08,Brand Events,Depreciation,32575.24,2025-08,31435.52,False,1.036256
2026-09,Brand Events,Depreciation,32553.41,2025-09,31414.45,False,1.036256
2026-07,Brand Events,Freelance,449256.33,2025-07,433801.6,False,1.035626
2026-08,Brand Events,Freelance,279053.19,2025-08,269453.57,False,1.035626
2026-09,Brand Events,Freelance,506872.74,2025-09,489435.97,False,1.035626
2026-07,Brand Events,Opex - Facilities,69353.42,2025-07,68850.52,False,1.007304
2026-08,Brand Events,Opex - Facilities,71789.24,2025-08,71268.68,False,1.007304
2026-09,Brand Events,Opex - Facilities,68234.58,2025-09,67739.79,False,1.007304
2026-07,Brand Events,Opex - G&A,180845.91,2025-07,176543.28,False,1.024372
2026-08,Brand Events,Opex - G&A,191998.41,2025-08,187430.45,False,1.024372
2026-09,Brand Events,Opex - G&A,182000.07,2025-09,177669.99,False,1.024372
2026-07,Brand Events,Opex - IT,16402.32,2025-07,18331.22,False,0.894775
2026-08,Brand Events,Opex - IT,21411.31,2025-08,23929.27,False,0.894775
2026-09,Brand Events,Opex - IT,17877.55,2025-09,19979.94,False,0.894775
2026-07,Brand Events,Opex - Marketing,27319.02,2025-07,27533.19,False,0.992222
2026-08,Brand Events,Opex - Marketing,28390.09,2025-08,28612.65,False,0.992222
2026-09,Brand Events,Opex - Marketing,26936.59,2025-09,27147.76,False,0.992222
2026-07,Brand Events,Opex - Travel,22102.87,2025-07,21662.8,False,1.020314
2026-08,Brand Events,Opex - Travel,23150.66,2025-08,22689.73,False,1.020314
2026-09,Brand Events,Opex - Travel,25797.88,2025-09,25284.24,False,1.020314
2026-07,Brand Events,Payroll,385299.69,2025-07,375633.7,False,1.025732
2026-08,Brand Events,Payroll,383309.05,2025-08,373693.0,False,1.025732
2026-09,Brand Events,Payroll,375496.35,2025-09,366076.3,False,1.025732
2026-07,Brand Events,Revenue,3562274.97,2025-07,3356852.02,True,1.061195
2026-08,Brand Events,Revenue,2512434.23,2025-08,2367551.63,False,1.061195
2026-09,Brand Events,Revenue,4119512.65,2025-09,3881955.9,False,1.061195
2026-07,Corporate Events,COGS,946371.4,2025-07,894066.8,False,1.058502
2026-08,Corporate Events,COGS,735274.43,2025-08,694636.86,False,1.058502
2026-09,Corporate Events,COGS,1139727.4,2025-09,1076736.28,False,1.058502
2026-07,Corporate Events,Depreciation,14319.12,2025-07,13917.84,False,1.028832
